EID,l1tex__lsuin_requests.sum,l1tex__texin_requests.sum,sm__inst_executed_pipe_alu.sum,sm__inst_executed_pipe_fma.sum,sm__inst_executed_pipe_lsu.sum,sm__inst_executed_pipe_tex.sum,sm__inst_issued.sum,sm__thread_inst_executed_pipe_alu_pred_on.sum,sm__thread_inst_executed_pipe_fma_pred_on.sum,sm__threads_launched_shader_ps.sum,sm__threads_launched_shader_ps_killmask_off.sum,sm__threads_launched_shader_ps_killmask_on.sum,sm__threads_launched_shader_vs.sum,sm__warps_launched.sum,gpu__time_duration.avg,l1tex__average_t_sector_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_mem_global_op_ld_lookup_hit.avg.ratio,l1tex__t_sector_hit_rate.avg.ratio,lts__average_t_sector_srcnode_gpc_lookup_hit.avg.ratio,lts__average_t_sector_srcnode_gpc_op_read_lookup_hit.avg.ratio,lts__average_t_sector_srcunit_tex_op_read.avg.ratio,lts__average_t_sector_srcunit_tex_op_read_lookup_hit.avg.ratio,lts__t_sector_hit_rate.avg.ratio
1117,1334.00,142.00,12673.00,84042.00,1334.00,0.00,107189.00,398752.00,2642656.00,0.00,0.00,0.00,20971.00,667.00,5500.00,0.00,0.00,0.00,0.00,0.52507,0.457,0.00,0.00,0.54154
1121,1684.00,188.00,15998.00,106092.00,1684.00,0.00,133068.00,509344.00,3377984.00,0.00,0.00,0.00,26815.00,842.00,5444.44444,0.00,0.00,0.00,0.00,0.58665,0.5355,0.00,0.00,0.60862
1125,818.00,142.00,7771.00,51534.00,818.00,0.00,66801.00,243648.00,1615872.00,0.00,0.00,0.00,12824.00,409.00,6351.85185,0.00,0.00,0.00,0.00,0.66471,0.57364,0.00,0.00,0.69035
1129,500.00,142.00,4750.00,31500.00,500.00,0.00,42068.00,150016.00,997792.00,0.00,0.00,0.00,7900.00,250.00,5648.14815,0.00,0.00,0.00,0.00,0.75259,0.45789,0.00,0.00,0.77405
1133,1250.00,142.00,11875.00,78750.00,1250.00,0.00,99848.00,373824.00,2479456.00,0.00,0.00,0.00,19676.00,625.00,4953.7037,0.00,0.00,0.00,0.00,0.67101,0.54523,0.00,0.00,0.68574
1137,1276.00,142.00,12122.00,80388.00,1276.00,0.00,101772.00,359616.00,2384640.00,0.00,0.00,0.00,18927.00,638.00,5833.33333,0.00,0.00,0.00,0.00,0.54143,0.49397,0.00,0.00,0.55864
1141,1080.00,142.00,10260.00,68040.00,1080.00,0.00,87025.00,313664.00,2079008.00,0.00,0.00,0.00,16509.00,540.00,4620.37037,0.00,0.00,0.00,0.00,0.55113,0.51235,0.00,0.00,0.58047
1145,1768.00,142.00,16796.00,111384.00,1768.00,0.00,138957.00,532352.00,3531936.00,0.00,0.00,0.00,28028.00,884.00,5074.07407,0.00,0.00,0.00,0.00,0.659,0.63497,0.00,0.00,0.68064
1149,966.00,142.00,9177.00,60858.00,966.00,0.00,77961.00,272928.00,1811104.00,0.00,0.00,0.00,14361.00,483.00,6111.11111,0.00,0.00,0.00,0.00,0.72757,0.45464,0.00,0.00,0.78345
1153,84.00,142.00,798.00,5292.00,84.00,0.00,7224.00,24864.00,164384.00,0.00,0.00,0.00,1304.00,42.00,6500.00,0.00,0.00,0.00,0.00,0.59556,0.54858,0.00,0.00,0.72683
1157,966.00,142.00,9177.00,60858.00,966.00,0.00,78193.00,272928.00,1811616.00,0.00,0.00,0.00,14361.00,483.00,5694.44444,0.00,0.00,0.00,0.00,0.59234,0.54974,0.00,0.00,0.61449
1161,1080.00,142.00,10260.00,68040.00,1080.00,0.00,86846.00,313632.00,2081472.00,0.00,0.00,0.00,16509.00,540.00,5731.48148,0.00,0.00,0.00,0.00,0.58613,0.45312,0.00,0.00,0.60291
1165,720.00,142.00,6840.00,45360.00,720.00,0.00,59618.00,208320.00,1380896.00,0.00,0.00,0.00,10968.00,360.00,4629.62963,0.00,0.00,0.00,0.00,0.60913,0.55837,0.00,0.00,0.64995
1169,80.00,142.00,760.00,5040.00,80.00,0.00,6879.00,24000.00,159392.00,0.00,0.00,0.00,1265.00,40.00,6416.66667,0.00,0.00,0.00,0.00,0.83927,0.37807,0.00,0.00,0.89178
1173,2636.00,142.00,25042.00,166068.00,2636.00,0.00,203985.00,785216.00,5205824.00,0.00,0.00,0.00,41323.00,1318.00,6194.44444,0.00,0.00,0.00,0.00,0.60114,0.54673,0.00,0.00,0.61061
1177,832.00,142.00,7904.00,52416.00,832.00,0.00,68067.00,249312.00,1649632.00,0.00,0.00,0.00,13120.00,416.00,6074.07407,0.00,0.00,0.00,0.00,0.33501,0.23986,0.00,0.00,0.38887
1181,1216.00,142.00,11552.00,76608.00,1216.00,0.00,96540.00,368416.00,2443168.00,0.00,0.00,0.00,19385.00,608.00,6166.66667,0.00,0.00,0.00,0.00,0.6201,0.51902,0.00,0.00,0.63618
1185,272.00,188.00,2584.00,17136.00,272.00,0.00,23257.00,81088.00,538496.00,0.00,0.00,0.00,4274.00,136.00,5305.55556,0.00,0.00,0.00,0.00,0.69216,0.40409,0.00,0.00,0.73031
1189,4.00,138.00,38.00,252.00,4.00,0.00,344.00,1216.00,8064.00,0.00,0.00,0.00,64.00,2.00,5518.51852,0.00,0.00,0.00,0.00,0.64183,0.62821,0.00,0.00,0.96394
1193,210.00,142.00,1995.00,13230.00,210.00,0.00,17984.00,62592.00,415296.00,0.00,0.00,0.00,3297.00,105.00,6296.2963,0.00,0.00,0.00,0.00,0.80868,0.448,0.00,0.00,0.84638
1197,364.00,142.00,3458.00,22932.00,364.00,0.00,31105.00,107936.00,715232.00,0.00,0.00,0.00,5676.00,182.00,4907.40741,0.00,0.00,0.00,0.00,0.84561,0.51968,0.00,0.00,0.86892
1201,2.00,138.00,19.00,126.00,2.00,0.00,172.00,512.00,3392.00,0.00,0.00,0.00,27.00,1.00,7268.51852,0.00,0.00,0.00,0.00,0.86316,0.3649,0.00,0.00,0.99525
1213,1334.00,142.00,12673.00,84042.00,1334.00,0.00,108080.00,398400.00,2643264.00,0.00,0.00,0.00,20971.00,667.00,4768.51852,0.00,0.00,0.00,0.00,0.52085,0.48748,0.00,0.00,0.54397
1217,1684.00,142.00,15998.00,106092.00,1684.00,0.00,132397.00,509408.00,3379456.00,0.00,0.00,0.00,26815.00,842.00,5064.81481,0.00,0.00,0.00,0.00,0.59505,0.56721,0.00,0.00,0.63945
1221,818.00,142.00,7771.00,51534.00,818.00,0.00,67207.00,243968.00,1618848.00,0.00,0.00,0.00,12824.00,409.00,4611.11111,0.00,0.00,0.00,0.00,0.66226,0.61295,0.00,0.00,0.68959
1225,500.00,142.00,4750.00,31500.00,500.00,0.00,42011.00,150080.00,996000.00,0.00,0.00,0.00,7900.00,250.00,5416.66667,0.00,0.00,0.00,0.00,0.69958,0.50283,0.00,0.00,0.72937
1229,1250.00,142.00,11875.00,78750.00,1250.00,0.00,99314.00,373600.00,2476160.00,0.00,0.00,0.00,19676.00,625.00,4601.85185,0.00,0.00,0.00,0.00,0.58099,0.54586,0.00,0.00,0.59942
1233,1276.00,142.00,12122.00,80388.00,1276.00,0.00,101347.00,359520.00,2385280.00,0.00,0.00,0.00,18927.00,638.00,5000.00,0.00,0.00,0.00,0.00,0.52735,0.49348,0.00,0.00,0.54495
1237,1080.00,142.00,10260.00,68040.00,1080.00,0.00,86864.00,313984.00,2079936.00,0.00,0.00,0.00,16509.00,540.00,4611.11111,0.00,0.00,0.00,0.00,0.52696,0.48824,0.00,0.00,0.54878
1241,1768.00,142.00,16796.00,111384.00,1768.00,0.00,138588.00,532640.00,3528096.00,0.00,0.00,0.00,28028.00,884.00,5231.48148,0.00,0.00,0.00,0.00,0.65737,0.63361,0.00,0.00,0.67692
1245,966.00,142.00,9177.00,60858.00,966.00,0.00,78260.00,272448.00,1809376.00,0.00,0.00,0.00,14361.00,483.00,4583.33333,0.00,0.00,0.00,0.00,0.53945,0.49662,0.00,0.00,0.60469
1249,84.00,142.00,798.00,5292.00,84.00,0.00,7224.00,24832.00,164288.00,0.00,0.00,0.00,1304.00,42.00,5101.85185,0.00,0.00,0.00,0.00,0.5971,0.55,0.00,0.00,0.73129
1253,966.00,142.00,9177.00,60858.00,966.00,0.00,78342.00,272768.00,1808448.00,0.00,0.00,0.00,14361.00,483.00,4620.37037,0.00,0.00,0.00,0.00,0.58369,0.54109,0.00,0.00,0.60584
