EID,l1tex__lsuin_requests.sum,l1tex__texin_requests.sum,sm__inst_executed_pipe_alu.sum,sm__inst_executed_pipe_fma.sum,sm__inst_executed_pipe_lsu.sum,sm__inst_executed_pipe_tex.sum,sm__inst_issued.sum,sm__thread_inst_executed_pipe_alu_pred_on.sum,sm__thread_inst_executed_pipe_fma_pred_on.sum,sm__threads_launched_shader_ps.sum,sm__threads_launched_shader_ps_killmask_off.sum,sm__threads_launched_shader_ps_killmask_on.sum,sm__threads_launched_shader_vs.sum,sm__warps_launched.sum,gpu__time_duration.avg,l1tex__average_t_sector_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_mem_global_op_ld_lookup_hit.avg.ratio,l1tex__t_sector_hit_rate.avg.ratio,lts__average_t_sector_srcnode_gpc_lookup_hit.avg.ratio,lts__average_t_sector_srcnode_gpc_op_read_lookup_hit.avg.ratio,lts__average_t_sector_srcunit_tex_op_read.avg.ratio,lts__average_t_sector_srcunit_tex_op_read_lookup_hit.avg.ratio,lts__t_sector_hit_rate.avg.ratio
154,2519.00,195.00,21252.00,62381.00,2519.00,42.00,95112.00,632096.00,1906976.00,16.00,4.00,12.00,10662.00,344.00,8620.37037,0.48927,0.33476,0.33476,0.48927,0.94427,0.89377,0.00494,0.00556,0.99996
156,2891.00,592.00,22636.00,65962.00,2828.00,108.00,99215.00,656288.00,1979360.00,108.00,27.00,81.00,10662.00,347.00,9842.59259,0.5979,0.27063,0.31049,0.5979,0.945,0.87928,0.02425,0.02336,0.99939
158,5335.00,4517.00,34320.00,97163.00,5115.00,896.00,153011.00,884384.00,2680448.00,1388.00,348.00,1040.00,10662.00,403.00,9055.55556,0.66416,0.17026,0.17123,0.66416,0.95853,0.80051,0.11764,0.11565,0.99679
160,2639.00,247.00,21548.00,62954.00,2639.00,72.00,96535.00,635296.00,1918432.00,24.00,6.00,18.00,10662.00,344.00,9731.48148,0.58088,0.38235,0.28676,0.58088,0.94323,0.89115,0.00813,0.00788,0.99975
162,2765.00,292.00,21548.00,64458.00,2639.00,108.00,99164.00,638144.00,1924096.00,36.00,9.00,27.00,10662.00,346.00,9972.22222,0.54472,0.31707,0.40976,0.54472,0.94118,0.89414,0.01346,0.00998,0.99769
164,2702.00,229.00,21548.00,63706.00,2639.00,72.00,96411.00,633952.00,1912544.00,20.00,5.00,15.00,10662.00,345.00,9305.55556,0.5575,0.39,0.39,0.5575,0.94218,0.89375,0.00846,0.00737,0.99886
166,2639.00,290.00,21276.00,63706.00,2639.00,72.00,96597.00,634912.00,1912864.00,24.00,6.00,18.00,10662.00,345.00,10166.66667,0.56629,0.35056,0.35056,0.56629,0.94286,0.89286,0.00815,0.00668,0.99966
168,2765.00,316.00,22364.00,65210.00,2765.00,126.00,97849.00,639328.00,1928544.00,40.00,10.00,30.00,10662.00,347.00,9518.51852,0.61224,0.36735,0.36735,0.61224,0.94182,0.88597,0.01274,0.01187,0.99776
170,2828.00,364.00,22364.00,65962.00,2765.00,108.00,99197.00,642144.00,1936416.00,52.00,13.00,39.00,10662.00,347.00,10500.00,0.56354,0.34475,0.25856,0.56354,0.94472,0.88709,0.01602,0.01484,0.99959
175,637.00,142.00,5460.00,16198.00,637.00,0.00,25296.00,167840.00,506016.00,0.00,0.00,0.00,2843.00,91.00,5055.55556,0.00,0.00,0.00,0.00,0.81091,0.75584,0.00,0.00,0.86359
177,637.00,142.00,5460.00,16198.00,637.00,0.00,25399.00,167712.00,506080.00,0.00,0.00,0.00,2843.00,91.00,5240.74074,0.00,0.00,0.00,0.00,0.91331,0.84865,0.00,0.00,0.99974
179,700.00,160.00,5732.00,16950.00,700.00,18.00,26788.00,168704.00,509088.00,4.00,1.00,3.00,2843.00,92.00,9388.88889,0.57609,0.42391,0.42391,0.57609,0.9154,0.85288,0.00481,0.00419,1.00012
181,637.00,142.00,5460.00,16198.00,637.00,0.00,25402.00,167808.00,506144.00,0.00,0.00,0.00,2843.00,91.00,5259.25926,0.00,0.00,0.00,0.00,0.912,0.85189,0.00,0.00,0.99895
183,700.00,193.00,6004.00,17702.00,700.00,36.00,28075.00,170784.00,515424.00,12.00,3.00,9.00,2843.00,93.00,9425.92593,0.53182,0.35455,0.35455,0.53182,0.91951,0.85554,0.00942,0.01235,1.00355
185,700.00,160.00,5726.00,16827.00,700.00,18.00,26606.00,168800.00,508672.00,4.00,1.00,3.00,2843.00,92.00,9388.88889,0.59756,0.47561,0.47561,0.59756,0.91407,0.85707,0.0041,0.00348,0.99938
187,637.00,142.00,5460.00,16198.00,637.00,0.00,25426.00,167616.00,505984.00,0.00,0.00,0.00,2843.00,91.00,5138.88889,0.00,0.00,0.00,0.00,0.91286,0.85354,0.00,0.00,0.99987
189,637.00,142.00,5460.00,16198.00,637.00,0.00,25495.00,167744.00,506272.00,0.00,0.00,0.00,2843.00,91.00,5166.66667,0.00,0.00,0.00,0.00,0.91369,0.84757,0.00,0.00,1.00
191,813.00,381.00,6252.00,19003.00,857.00,70.00,29342.00,181664.00,548512.00,76.00,19.00,57.00,2843.00,96.00,9027.77778,0.51014,0.15072,0.18841,0.51014,0.91658,0.83414,0.03574,0.02817,0.99156
193,637.00,142.00,5460.00,16198.00,637.00,0.00,25410.00,167808.00,505824.00,0.00,0.00,0.00,2843.00,91.00,5250.00,0.00,0.00,0.00,0.00,0.91287,0.85905,0.00,0.00,1.00079
195,763.00,241.00,6004.00,17702.00,763.00,54.00,28015.00,173760.00,523072.00,24.00,6.00,18.00,2843.00,92.00,9916.66667,0.53822,0.24841,0.24841,0.53822,0.91538,0.84663,0.01743,0.01635,0.9982
197,700.00,160.00,5732.00,16950.00,700.00,18.00,26795.00,168704.00,509152.00,4.00,1.00,3.00,2843.00,92.00,9675.92593,0.54545,0.39394,0.39394,0.54545,0.9149,0.85833,0.00558,0.00558,1.00037
199,1078.00,313.00,7092.00,21339.00,1015.00,108.00,33349.00,177888.00,535232.00,40.00,10.00,30.00,2843.00,97.00,10398.14815,0.55105,0.35135,0.35135,0.55105,0.92278,0.85545,0.03356,0.02811,0.99372
204,56476.00,72077.00,295466.00,800191.00,56287.00,12600.00,1313343.00,7599168.00,2.20512E+07,17364.00,5202.00,12162.00,56795.00,2502.00,15620.37037,0.80269,0.1906,0.18721,0.80269,0.92027,0.7087,0.20659,0.16295,0.93627
207,44758.00,49417.00,243964.00,703226.00,44506.00,9018.00,1126365.00,6333504.00,1.90218E+07,12016.00,3411.00,8605.00,56795.00,2317.00,15648.14815,0.75163,0.19246,0.1898,0.75163,0.90298,0.71651,0.20641,0.14036,0.93257
213,55664.00,109201.00,242242.00,660491.00,55727.00,15894.00,1141489.00,6760256.00,1.97095E+07,26380.00,23416.00,2964.00,150.00,889.00,19481.48148,0.74568,0.10186,0.10246,0.74568,0.24932,0.22719,0.92571,0.18679,0.25243
216,4613.00,7759.00,20122.00,54887.00,4613.00,1314.00,96519.00,472960.00,1384256.00,1840.00,1197.00,643.00,64.00,75.00,13990.74074,0.65709,0.11235,0.11179,0.65709,0.32084,0.25418,0.67839,0.08263,0.34627
218,7133.00,12211.00,31630.00,86261.00,7259.00,2070.00,148827.00,758528.00,2219072.00,2920.00,2026.00,894.00,64.00,115.00,13648.14815,0.67654,0.10702,0.10918,0.67654,0.39244,0.3363,0.75663,0.18573,0.41077
220,3542.00,6088.00,15464.00,42188.00,3542.00,1008.00,74029.00,369952.00,1083712.00,1436.00,908.00,528.00,64.00,58.00,13620.37037,0.64368,0.10722,0.10722,0.64368,0.45705,0.39008,0.64621,0.14078,0.49236
222,14693.00,26575.00,63962.00,174407.00,14693.00,4194.00,304645.00,1634976.00,4798976.00,6396.00,4884.00,1512.00,64.00,235.00,13138.88889,0.71007,0.10533,0.10528,0.71007,0.29923,0.25793,0.84928,0.16645,0.3095
225,129248.00,257074.00,562548.00,1532240.00,129248.00,36900.00,2626457.00,1.58885E+07,4.65073E+07,62304.00,58033.00,4271.00,150.00,2055.00,25638.88889,0.79357,0.10774,0.10776,0.79357,0.36835,0.34911,0.94264,0.31761,0.37016
228,2302.00,4360.00,10520.00,29268.00,2302.00,728.00,51942.00,253824.00,758624.00,1344.00,776.00,568.00,64.00,54.00,12222.22222,0.66984,0.09814,0.09814,0.66984,0.45718,0.3705,0.53641,0.10988,0.49632
231,30968.00,59479.00,134560.00,365426.00,30905.00,8838.00,642398.00,3702336.00,1.08369E+07,14404.00,12171.00,2233.00,150.00,493.00,15231.48148,0.72243,0.10006,0.10097,0.72243,0.26254,0.24128,0.90711,0.18171,0.26743
234,8834.00,15640.00,38480.00,104936.00,8834.00,2520.00,184013.00,959488.00,2812480.00,3748.00,2610.00,1138.00,64.00,142.00,13703.7037,0.70033,0.10661,0.10611,0.70033,0.28757,0.23297,0.77286,0.10988,0.30309
236,5810.00,10018.00,25054.00,68333.00,5747.00,1638.00,121298.00,609632.00,1784640.00,2388.00,1564.00,824.00,64.00,94.00,13379.62963,0.66716,0.11119,0.11021,0.66716,0.49844,0.44448,0.73457,0.26417,0.52119
238,20111.00,37642.00,87800.00,240143.00,20111.00,5742.00,416011.00,2323360.00,6815232.00,9080.00,7294.00,1786.00,64.00,321.00,13500.00,0.7363,0.10388,0.10389,0.7363,0.32688,0.29426,0.87141,0.21501,0.33508
241,263419.00,588777.00,1197700.00,3328550.00,263375.00,83776.00,5705900.00,3.50156E+07,1.04678E+08,188256.00,184299.00,3957.00,150.00,5991.00,36194.44444,0.87888,0.1181,0.11811,0.87888,0.33325,0.29549,0.92901,0.26994,0.33515
244,10598.00,19555.00,46152.00,126599.00,10661.00,3042.00,222060.00,1202240.00,3518944.00,4684.00,3468.00,1216.00,64.00,171.00,14611.11111,0.6988,0.1029,0.10154,0.6988,0.25916,0.21688,0.81868,0.12772,0.27187
253,3.00,68271.00,505170.00,846491.00,3.00,27306.00,1673396.00,1.17390E+07,2.26392E+07,434776.00,433324.00,1452.00,4.00,13654.00,14648.14815,0.94887,0.00,0.00,0.94887,0.83026,0.34344,0.32422,0.18078,0.83817
263,3.00,93834.00,328875.00,211421.00,3.00,23490.00,755474.00,7482080.00,4487232.00,748224.00,746496.00,1728.00,4.00,23491.00,13259.25926,0.49952,0.00,0.00,0.49952,0.92911,0.59399,0.64452,0.57786,0.93284
273,3.00,94064.00,5919.00,130028.00,3.00,23640.00,193254.00,187648.00,4125472.00,187488.00,186624.00,864.00,4.00,5911.00,10398.14815,0.88384,0.00,0.00,0.88384,0.98955,0.87093,0.86396,0.8537,0.99376
283,3.00,23748.00,1494.00,32678.00,3.00,5940.00,50643.00,47104.00,1035328.00,47088.00,46656.00,432.00,4.00,1486.00,7509.25926,0.8857,0.00,0.00,0.8857,0.98617,0.85553,0.81642,0.82994,0.99986
293,3.00,6212.00,392.00,8434.00,3.00,1532.00,14582.00,12000.00,264544.00,12024.00,11664.00,360.00,4.00,384.00,6694.44444,0.88611,0.00,0.00,0.88611,0.94411,0.78088,0.69927,0.68805,0.98624
303,3.00,1692.00,106.00,2142.00,3.00,388.00,3774.00,2976.00,65920.00,2992.00,2880.00,112.00,4.00,98.00,6472.22222,0.85833,0.00,0.00,0.85833,0.86283,0.70361,0.48071,0.4703,0.98469
313,3.00,576.00,35.00,580.00,3.00,104.00,1031.00,800.00,17088.00,776.00,720.00,56.00,4.00,27.00,6324.07407,0.87506,0.00,0.00,0.87506,0.72057,0.62884,0.23489,0.23489,0.9316
323,3.00,258.00,16.00,162.00,3.00,28.00,296.00,288.00,4640.00,208.00,180.00,28.00,4.00,8.00,6111.11111,0.89152,0.00,0.00,0.89152,0.64733,0.60018,0.09519,0.0961,1.00725
333,3.00,186.00,12.00,74.00,3.00,12.00,142.00,128.00,1568.00,72.00,45.00,27.00,4.00,4.00,6305.55556,0.91336,0.00,0.00,0.91336,0.57696,0.55183,0.02618,0.02094,0.99476
343,3.00,154.00,10.00,30.00,3.00,4.00,64.00,64.00,352.00,16.00,8.00,8.00,4.00,2.00,6324.07407,0.67857,0.00,0.00,0.67857,0.56466,0.54957,0.0097,0.00431,0.99246
353,3.00,150.00,10.00,30.00,3.00,4.00,64.00,32.00,192.00,8.00,2.00,6.00,4.00,2.00,6055.55556,0.875,0.00,0.00,0.875,0.55531,0.54121,0.00108,0.00108,0.9859
367,21532.00,5996.00,149287.00,447028.00,21658.00,1188.00,657364.00,4370400.00,1.36482E+07,1208.00,302.00,906.00,56795.00,1866.00,21120.37037,0.71949,0.14584,0.15227,0.71949,0.81553,0.69714,0.03988,0.02561,0.81928
380,9.00,141092.00,681249.00,1409439.00,9.00,70470.00,2923540.00,2.02024E+07,2.99608E+07,748224.00,746496.00,1728.00,4.00,23492.00,22240.74074,0.49948,0.00,0.00,0.49948,0.80635,0.24109,0.41329,0.22521,0.80903
383,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12231.48148,0.00,0.00,0.00,0.00,0.02797,0.02797,0.00,0.00,0.98912
395,36.00,1252.00,1152.00,1396.00,36.00,336.00,5698.00,29376.00,41632.00,2544.00,1978.00,566.00,78.00,105.00,7111.11111,0.98345,0.00,0.00,0.98345,0.68106,0.52552,0.00846,0.00785,0.88251
400,4.00,234.00,127.00,134.00,4.00,28.00,506.00,2208.00,2624.00,192.00,144.00,48.00,4.00,8.00,7833.33333,0.80,0.00,0.00,0.80,0.61736,0.59094,0.01811,0.00453,0.89736
406,18.00,1144.00,1248.00,1452.00,18.00,392.00,5794.00,31296.00,43200.00,2944.00,2415.00,529.00,78.00,101.00,6685.18519,0.98478,0.00,0.00,0.98478,0.84949,0.65693,0.00931,0.00931,0.96855
411,4.00,222.00,127.00,132.00,4.00,28.00,503.00,2528.00,2944.00,216.00,154.00,62.00,4.00,8.00,7018.51852,0.87097,0.00,0.00,0.87097,0.67699,0.6469,0.01416,0.00,1.00619
413,4.00,238.00,88.00,94.00,4.00,16.00,338.00,1440.00,1632.00,116.00,88.00,28.00,4.00,5.00,6787.03704,0.88,0.00,0.00,0.88,0.64091,0.61896,0.01054,0.00,0.96839
415,4.00,200.00,114.00,120.00,4.00,24.00,449.00,1952.00,2272.00,164.00,121.00,43.00,4.00,7.00,6879.62963,0.87324,0.00,0.00,0.87324,0.6129,0.58349,0.01708,0.00569,0.96584
417,4.00,210.00,114.00,122.00,4.00,24.00,452.00,2016.00,2272.00,168.00,121.00,47.00,4.00,7.00,6842.59259,0.87943,0.00,0.00,0.87943,0.64236,0.61632,0.01563,0.00521,0.96528
419,4.00,198.00,101.00,104.00,4.00,20.00,389.00,1344.00,1568.00,112.00,70.00,42.00,4.00,6.00,6833.33333,0.85714,0.00,0.00,0.85714,0.66756,0.64711,0.00711,0.00533,0.99822
421,4.00,208.00,114.00,122.00,4.00,24.00,452.00,1952.00,2336.00,164.00,121.00,43.00,4.00,7.00,6833.33333,0.88889,0.00,0.00,0.88889,0.66753,0.6381,0.01558,0.00519,0.98961
423,4.00,200.00,114.00,120.00,4.00,24.00,449.00,1920.00,2176.00,164.00,121.00,43.00,4.00,7.00,7055.55556,0.91549,0.00,0.00,0.91549,0.63394,0.60439,0.01144,0.00,0.98856
425,4.00,198.00,101.00,108.00,4.00,20.00,395.00,1664.00,1984.00,140.00,110.00,30.00,4.00,6.00,7092.59259,0.85,0.00,0.00,0.85,0.67914,0.6533,0.01604,0.00535,1.0107
431,18.00,794.00,852.00,992.00,18.00,260.00,3912.00,20832.00,28640.00,1896.00,1455.00,441.00,78.00,68.00,6425.92593,0.98534,0.00,0.00,0.98534,0.83106,0.67038,0.00647,0.00647,0.96441
436,4.00,254.00,153.00,160.00,4.00,36.00,617.00,2912.00,3424.00,248.00,182.00,66.00,4.00,10.00,6916.66667,0.74194,0.00,0.00,0.74194,0.71025,0.68053,0.02377,0.0104,0.98663
438,4.00,200.00,101.00,108.00,4.00,20.00,395.00,1728.00,2016.00,140.00,110.00,30.00,4.00,6.00,6925.92593,0.85,0.00,0.00,0.85,0.68282,0.65374,0.02115,0.01057,1.01057
440,4.00,200.00,114.00,122.00,4.00,24.00,452.00,1984.00,2400.00,168.00,132.00,36.00,4.00,7.00,6787.03704,0.92683,0.00,0.00,0.92683,0.65497,0.62378,0.0117,0.00585,1.01754
442,4.00,208.00,114.00,120.00,4.00,24.00,447.00,1952.00,2272.00,164.00,117.00,47.00,4.00,7.00,6898.14815,0.9078,0.00,0.00,0.9078,0.67736,0.64973,0.01248,0.00,1.00891
452,3.00,93834.00,13.00,46992.00,3.00,23490.00,188458.00,64.00,1495616.00,748224.00,746496.00,1728.00,4.00,23491.00,14148.14815,0.49946,0.00,0.00,0.49946,0.68502,0.45783,0.75328,0.43536,0.68794
